                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6586,                 3.2709,                  1.734,                0.66712,                0.81127,                0.79107,                0.48838,                0.96589,                 2.9306,                 1.1812,             0.00012221,             0.00012221,             0.00012221
                      2,                 0.9641,                 1.1791,                 1.1951,                0.74113,                 0.7549,                0.78137,                0.57388,                0.93141,                 2.7372,                 1.2873,               0.000253,               0.000253,               0.000253
                      3,                0.90375,                0.94479,                 1.1829,                0.70154,                0.79799,                0.75006,                0.54259,                0.96619,                 1.5754,                 1.2873,             0.00038115,             0.00038115,             0.00038115
                      4,                0.91325,                0.84906,                 1.1723,                0.69282,                0.51416,                0.56139,                0.38589,                 1.0998,                 1.9685,                 1.4241,             0.00050666,             0.00050666,             0.00050666
                      5,                0.90343,                0.85335,                 1.2176,                0.79536,                0.38446,                0.56491,                0.37384,                 1.0103,                 2.0344,                 1.4406,             0.00062953,             0.00062953,             0.00062953
                      6,                 0.8876,                0.82467,                 1.1818,                0.64302,                0.66519,                0.69992,                0.46432,                 1.0122,                 1.5799,                 1.3892,             0.00074976,             0.00074976,             0.00074976
                      7,                0.89824,                0.75505,                 1.1979,                0.53631,                0.53289,                0.57596,                0.33008,                 1.4116,                 2.4173,                 1.6002,             0.00086736,             0.00086736,             0.00086736
                      8,                0.85153,                0.67267,                 1.1514,                0.65376,                0.69389,                0.69558,                0.45817,                 1.1299,                 1.7338,                 1.3036,             0.00098231,             0.00098231,             0.00098231
                      9,                0.85235,                0.69436,                 1.1617,                0.76113,                0.75138,                 0.7381,                0.51621,                0.97666,                 1.4111,                 1.2909,               0.001023,               0.001023,               0.001023
                     10,                0.90709,                0.69207,                  1.195,                 0.7248,                0.60151,                0.62123,                0.42617,                 1.0657,                 1.5896,                 1.3925,               0.001023,               0.001023,               0.001023
                     11,                0.87331,                0.61046,                 1.1438,                0.55741,                0.48728,                0.45658,                0.32352,                 1.1138,                 2.0398,                 1.5055,               0.001012,               0.001012,               0.001012
